"address_line_1__v","latitude__v","longitude__v","postal_code__v","infusion_chairs__v","infusions_performed__v","npi_num__v","hco_name_cda__v"
"1600 Rockland Rd","39.779409999999999","-75.555530000000005","19803-3607","","","","Nemours Cardiac Center"
"3773 W 12600 S Ste 100","40.522150000000003","-111.98111","84065-7215","","","","Pediatric Endocrinology-Pcros"
"401 E Chestnut St Unit 510","38.248089999999998","-85.746740000000003","40202-5710","","","1417906215","UOFL Physicians-Neurology"
"1301 Barbara Jordan Blvd Ste 200","30.305579999999999","-97.707279999999997","78723-3078","","","","UT Health Austin Pediatric Neurosciences At Dell Childrens-Neurology Clinic"
"5303 Harry Hines Blvd Fl 8","32.812420000000003","-96.838430000000002","75390-7208","","","","UT Southwestern Medical Center Neurology Clinic-Memory"
"705 Riley Hospital Dr","39.777259999999998","-86.180019999999999","46202-5109","","","","IU Health Physicians Cardiovascular Surgeons"
"1540 E Hospital Dr Spc 4256","42.281759999999998","-83.7286","48109-4256","","","","Pediatric Dermatology Clinic C S Mott Childrens Hospital"
"1600 San Fernando Rd Bldg C","34.28877","-118.44846","91340-3115","","","1235130600","Northeast Valley Health Corporation-San Fernando Health Center"
"932 Morreene Rd","36.008920000000003","-78.954679999999996","27705-4410","","","","Duke Neurology Morreene Road"
"900 Blake Wilbur Dr","37.43553","-122.17738","94304-2201","","","","Stanford Immunology And Rheumatology Clinic At Blake Wilbur Building"
"1635 Aurora Ct Fl 4","39.7423","-104.83945","80045-2585","","","","Uchealth Neurosciences Center-Anschutz Medical Campus"
"2805 Campus Dr Ste 465","45.010829999999999","-93.454059999999998","55441-2680","","","","Allina Health Orthopedics Plymouth"
"5777 E Mayo Blvd","33.659109999999998","-111.95648","85054-4502","1","Yes/True","","Mayo Clinic Hospital-Phoenix"
"1505 SW Archer Rd","29.640029999999999","-82.340959999999995","32608-1134","","","","UF Health Neurology Neuromedicine Hospital"
"199 W Main St","40.881236999999999","-82.673180000000002","44875-1490","","","","Ohiohealth Shelby Hospital"
"164 Greenview Dr Fl 2","40.799011999999998","-77.874395000000007","16803-2106","","","","Sieg Neuroscience Center"
"10101 SE Main St Ste 3001","45.514270000000003","-122.55916999999999","97216-2458","","","","Adventist Emotional Wellness Center"
"1717 E Monument St","39.298400999999998","-76.593845999999999","21287-0027","","","1538226576","Johns Hopkins Hospital Outpatient Pharmacy"
"96 Campus Dr Ste 1","43.602339999999998","-70.317580000000007","04074-7164","","","1386937175","Maine Medical Centers Scarborough Campus"
"1250 8th Ave Ste 200","32.729660000000003","-97.345579999999998","76104-4158","","","","Baylor Scott And White Vascular Surgery Specialists-Fort Worth"
"2222 Welborn St","32.80171","-96.814610000000002","75219-3924","","","1265104939","Scottish Rite For Children-Pediatric Orthopedics Care"
"550 S Jackson St Fl 3 Ste A3R40","38.2483","-85.745559999999998","40202-1622","","","","UOFL Health-Adult Cystic Fibrosis Care Center"
"300 1st Ave","42.378579999999999","-71.049220000000005","02129-3109","","","1780600825","Spaulding Rehabilitation Hospital"
"700 Childrens Dr","39.952460000000002","-82.979519999999994","43205-2664","","","1063419943","Pediatric Academic Association Inc"
"4535 Dressler Rd NW","40.846829999999997","-81.435469999999995","44718-2545","","","1184045999","US Acute Care Solutions"
"2123 Auburn Ave Ste 136","39.120159999999998","-84.508880000000005","45219-2906","","","","The Christ Hospital Heart And Vascular"
"833 Chestnut St Ste 300","39.9499","-75.155069999999995","19107-4405","","","","Nemours Childrens Health Nemours-Pediatric Specialty Care"
"45 Home Depot Dr","41.934150000000002","-70.661749999999998","02360-2669","","","","Beth Israel Lahey Health Specialty Care Breast Health Center"
"1834 Oregon Pike Ste 20","40.076610000000002","-76.296899999999994","17601-6463","","","","Nemours Childrens Health Oregon Pike"
"2 Brookline Pl Fl 7","42.332129999999999","-71.115870000000001","02445-7230","","","","Division Of Genetics And Genomics"
"3181 SW Sam Jackson Park Rd","45.500284999999998","-122.684398","97239-3011","","","","OHSU Healthcare"
"3400 Spruce St","39.950029999999998","-75.193039999999996","19104-4238","","","1851370910","Hospital Of The University Of Pennsylvania"
"201 E Grover St","35.302880000000002","-81.535709999999995","28150-3917","1","Yes/True","1013918747","Atrium Health Cleveland"
"243 Charles St","42.362769999999998","-71.070300000000003","02114-3002","","","1639101751","Massachusetts Eye And Ear"
"1500 San Pablo St","34.061929999999997","-118.20156","90033-5313","","","1558394361","Keck Hospital Of USC"
"60 Hospital Rd","42.541020000000003","-71.761279999999999","01453-2205","","","1538292537","University Of Massachusetts Memorial Healthalliance-Clinton Hospital Leominster Campus"
"78 Medical Center Cir","38.095081999999998","-78.986607000000006","22939-2272","","","1669571147","Augusta Health"
"800 Washington St","42.349519999999998","-71.063299999999998","02111-1552","","","1851337141","Tufts Medical Center"
"907 E Lamar Alexander Pkwy","35.755110000000002","-83.958629999999999","37804-5015","","","1619939071","Blount Memorial Hospital"
"2200 Childrens Way","36.138750000000002","-86.801789999999997","37232-0005","","","1255577466","Monroe Carell Jr Childrens Hospital At Vanderbilt"
"3400 Civic Center Blvd Fl 2","39.947780000000002","-75.193430000000006","19104-5127","","","1164810271","Penn Neuroscience Center-Neurology"
"1375 E 19th Ave","39.74606","-104.97138","80218-1114","","","1417946021","Saint Joseph Hospital"
"350 Engle St","40.903790000000001","-73.967860000000002","07631-1808","","","1487903456","Englewood Health"
"701 E Marshall St","39.972990000000003","-75.60181","19380-4412","","","1003951195","Chester County Hospital"
"100 Bowman Dr","39.843069999999997","-74.929040000000001","08043-9612","","","1528064409","Virtua Voorhees Hospital"
"300 Ucla Medical Plz Ste B200","34.064680000000003","-118.4461","90095-8346","","","1437117074","The Regents Of The University Of California"
"20 Patriot Pl","42.094329999999999","-71.265699999999995","02035-1375","","","","Mass General Brigham Healthcare Center At Patriot Place"
"2205 Commonwealth Blvd","42.307749999999999","-83.697000000000003","48105-2970","","","","Michigan Medicine Physical Medicine Rehabilitation Pediatric Rehabilitation Center"
"369 San Miguel Dr Ste 375","33.611910000000002","-117.87170999999999","92660-7847","","","1861032179","Newport Beach Pediatric Pulmomology"
"215 W Bowery St Fl 4","41.078780000000002","-81.524289999999993","44308-1069","","","","Akron Childrens Neurodevelopmental Science Center"
"6019 Walnut Grove Rd","35.128160000000001","-89.861369999999994","38120-2113","","","1578527172","Baptist Memorial Hospital-Memphis"
"2222 Welborn St","32.80171","-96.814610000000002","75219-3924","","","1760628184","Texas Scottish Rite Hospital For Children"
"2200 Childrens Way 7","36.138750000000002","-86.801789999999997","37232-0005","","","","Vanderbilt Childrens Liver Clinic"
"1 Long Wharf Dr Ste 202 Fl 2","41.289050000000003","-72.930000000000007","06511-5593","","","1053464487","Pediatric Specialty Center"
"1500 S Fairfield Ave","41.86083","-87.694730000000007","60608-1782","1","Yes/True","1114271632","Mount Sinai Hospital"
"2211 Lomas Blvd NE","35.087859999999999","-106.61851","87106-2719","","","","UNM Clinical Neuroscience Center"
"312 Hospital Dr","37.159320000000001","-82.447479999999999","24228-6786","","","1285685727","Dickenson Community Hospital"
"37 Sandstone Cir Ste 100","35.676279999999998","-88.854600000000005","38305-2035","","","1366436669","Vanderbilt Childrens Endocrinology Jackson"
"6701 Fannin St Ste 990","29.706880000000002","-95.4024","77030-2611","","","","Texas Medical Center-Pulmonary"
"275 Cambridge St Ste 530","42.361220000000003","-71.067840000000004","02114-3108","","","","Mass General For Children Pediatric Cystic Fibrosis Center"
"1350 Locust St Ste 220","40.436990000000002","-79.988709999999998","15219-4738","","","1124055793","University Of Pittsburgh Department Of Orthopedics Surgery"
"2608 Erwin Rd Ste 200","36.009549999999997","-78.944879999999998","27705-4597","","","1205159316","Duke Perinatal Consultants Of Durham And Fetal Diagnostic Center"
"825 Eastlake Ave E","47.626669999999997","-122.32965","98109-4405","","","","University Of Washington Oncology Department"
"3300 Gallows Rd","38.85819","-77.226429999999993","22042-3307","","","","Inova Childrens Hospital Pediatric Intensive Care"
"262 Danny Thomas Pl","35.154556999999997","-90.042534000000003","38105-3678","","","","St Jude Childrens Research Hospital Admin Office"
"1 Park St","41.304639999999999","-72.936580000000006","06504-8901","","Yes/True","1104175488","Yale New Haven Childrens Hospital"
"7261 Mercy Rd","41.236919999999998","-96.025149999999996","68124-2311","","","","CHI Health Partners"
"2105 Edward Curd Ln Ste B 100","35.917900000000003","-86.819779999999994","37067-5600","","","","Vanderbilt Childrens Genetics Franklin"
"12505 E 16th Ave","39.741370000000003","-104.84472","80045","","","","Cardiac Electrophysiology Anschutz"
"619 19th St S","33.506219999999999","-86.801779999999994","35249-1900","","","","Hrsa Heart Failure Clinic At Russell Ambulatory Center"
"3300 Princeton Rd","39.391210000000001","-84.504940000000005","45011-5390","","","1467644005","Urgent Care Of Fairfield LLC"
"428 Windmere Dr Ste 100","40.787579999999998","-77.825360000000003","16801-7644","","","","Nittany Eye Associates"
"1 Perkins Sq","41.078874999999996","-81.5261","44308-1063","","","","Akron Childrens"
"1 Presidential Blvd Ste 400","40.01003","-75.210679999999996","19004-1016","","","","Penn Medicine Home Health"
"452 W 10th Ave","39.994610000000002","-83.018270000000001","43210-1240","","","1619280062","Richard M Ross Heart Hospital"
"1012 Laurel Oak Rd","39.84534","-74.976280000000003","08043-3505","","","1972698991","Chop Specialty Care And Surgery Center"
"2516 Stockton Blvd","38.552379999999999","-121.45668000000001","95817-2208","","","","Ticon Ii Pediatric Residency Program"
"3410 Worth St Ste 950","32.788170000000001","-96.778760000000005","75246-2064","","","","Baylor Scott And White Transplant Services-Dallas"
"8 Ravdin 3400","39.962681000000003","-75.199432999999999","19104","","","","Neonatology And Newborn Services Hup"
"300 N 4th Ave E Ste 160","41.703290000000003","-93.051010000000005","50208-3122","","","","Mercyone Iowa Heart Center Newton"
"543 Taylor Ave Ste 1074","39.978520000000003","-82.962400000000002","43203-1278","","","","Ohio State Neurology Outpatient Care East"
"1940 Alcoa Highway Building E Ste 310","35.937987999999997","-83.901606000000001","37920","","","","University Cardiology"
"400 Parnassus Ave Rm A 808","37.763860000000001","-122.45838999999999","94143-2202","","","","UCSF General Neurology Clinic"
"8300 Floyd Curl Dr Fl 4","29.515180000000001","-98.580179999999999","78229-3931","","","","Medical Arts And Research Center-Nephrology"
"2 Coulter Rd","42.95966","-77.136439999999993","14432-1122","","","","Csh Hospitalists"
"2575 E Evergreen Dr","44.301609999999997","-88.36694","54913-8910","","","","Appleton Clinic-Childrens Wisconsin"
"1400 Jackson St","39.739199999999997","-104.94186999999999","80206-2761","","","1326015777","National Jewish Health"
"4800 Sand Point Way NE","47.66281","-122.28223","98105-3901","","","1467536276","Seattle Childrens Hospital"
"262 Danny Thomas Pl","35.154556999999997","-90.042534000000003","38105-3678","","","1821432212","St Jude Childrens Research Hospital"
"1959 NE Pacific St","47.650269999999999","-122.30705","98195-0001","","Yes/True","1326002049","University Of Washington Medical Center-Montlake"
"10666 N Torrey Pines Rd","32.897109999999998","-117.24267999999999","92037-1027","","","1841233780","Scripps Green Hospital"
"665 Elm St","42.897790000000001","-78.865120000000005","14203-1104","","","1548315401","Roswell Park Comprehensive Cancer Center"
"94 Old Short Hills Rd","40.763449999999999","-74.302610000000001","07039-5672","","","1396857488","Cooperman Barnabas Medical Center"
"55 Fruit St","42.362549999999999","-71.069289999999995","02114-2621","","","1023049236","Massachusetts General Hospital"
"800 Spruce St","39.945599999999999","-75.155609999999996","19107-6130","","","1063489342","Pennsylvania Hospital"
"1935 Medical District Dr","32.809510000000003","-96.83766","75235-7701","","","1194153650","Childrens Medical Center Dallas"
"300 Halket St","40.436970000000002","-79.960819999999998","15213-3108","","","1154793289","Magee Womens Hospital Of UPMC"
"1700 SW 7th St","39.056170000000002","-95.696029999999993","66606-1674","","","1831604107","University Of Kansas Health System St Francis Campus"
"450 Brookline Ave","42.337899999999998","-71.108199999999997","02215-5418","","","1851333686","Dana-Farber Cancer Institute"
"2014 Washington St","42.330930000000002","-71.24776","02462-1607","","","1992737761","Newton-Wellesley Hospital"
"200 Abraham Flexner Way","38.249180000000003","-85.751249999999999","40202-2877","","","1053362293","University Of Louisville Health-Jewish Hospital"
"9300 Campus Point Dr","32.875070000000001","-117.22335","92037-1300","","","1497021265","UCSD Jacobs Medical Center"
"1 Pearl St Ste 1000","42.088430000000002","-71.065529999999995","02301-2869","","","","Revere Medical-Brockton Internal Medicine Suite 1000"
"20 Homestead Ave","40.079140000000002","-80.693449999999999","26003-6638","","","1134206386","Marthas Vineyard Hospital"
"593 Eddy St","41.821980000000003","-71.409592000000004","02903-4923","","","1134206386","Marthas Vineyard Hospital"
"1 Hospital Rd","41.460760000000001","-70.580579999999998","02557-1406","","","1134206386","Marthas Vineyard Hospital"
"8800 W 75th St Ste 220","38.993540000000003","-94.688280000000006","66204-4001","","","1164969952","Johnson County Pediatrics-Childrens Mercy"
"21208 Northwest Fwy Ste 100","29.924520000000001","-95.629459999999995","77429-5975","","","","Specialty Associates Of West Houston PLLC"
"4910 Mueller Blvd Ste 102","30.30247","-97.705470000000005","78723-3079","","","","Pediatric And Congenital Cardiology Associates-Austin"
"19582 Beach Blvd Ste 380","33.678379999999997","-117.98802999999999","92648-5924","","","","Choc Health Center-Huntington Beach"
"3130 Highland Ave Ste G100","39.13644","-84.502170000000007","45219","","","","Hoxworth Center Dermatology Ste G100"
"19200 Jamboree Rd Ste 2000","33.664239999999999","-117.85595000000001","92612-2571","","","","Choc Center For Childrens Health"
"815 Freeport Rd","40.489269999999998","-79.897199999999998","15215-3301","","","1790795359","UPMC St Margaret"
"1000 E Washington St","41.13843","-81.836830000000006","44256-2170","","","1083696710","Cleveland Clinic Medina Hospital"
"354 Santa Fe Dr","33.036709999999999","-117.28388","92024-5142","","","1700829199","Scripps Memorial Hospital-Encinitas"
"118 E 2nd St","42.134529999999998","-80.085809999999995","16507-1502","","","","Magee-Womens UPMC Hamot Neonatal Intensive Care Unit (nicu)"
"1010 Edgehill Rd N","35.202590000000001","-80.834059999999994","28207-1885","","","1265747497","Atrium Health Neurology Specialty Care-Carolinas Medical Center"
"40 Duke Medicine Cir","36.00459","-78.935599999999994","27710-4000","","","","Duke Gastroenterology Clinic-2j"
"18500 Katy Fwy","29.786020000000001","-95.694800000000001","77094-1110","","","1083937593","Houston Methodist West Hospital"
"1100 Virginia Ave","38.935879999999997","-92.325890000000001","65201","","","","Comprehensive Spine Center"
"9001 Liberty Pkwy","33.474299999999999","-86.696520000000007","35242-7509","","","","Encompass Health Corporation"
"1201 W La Veta Ave","33.780729999999998","-117.86512","92868-4203","","","1568911303","Choc Clinic Specialty Care"
"7460 Wolf River Blvd","35.11544","-89.813659999999999","38138-1760","","","1174842181","Sutherland Cardiology Clinic"
"50 N Medical Dr Level A B01","40.772979999999997","-111.83672","84132-0001","","","1629022827","University Of Utah Pediatric Clinic"
"282 Washington St","41.753880000000002","-72.682220000000001","06106-3322","","","1477257160","Connecticut Childrens Medical Center Hartford Center For Cancer And Blood Disorders"
"5850 Landerbrook Dr Ste 220","41.503230000000002","-81.46902","44124-4071","","","","University Hospital Rainbow Specialty Clinic"
"1800 Orleans St","39.296080000000003","-76.591470000000001","21287-0010","","","","The Johns Hopkins Medical Institutions-Bloomberg Childrens Center-Department Of Anesthesiology And Critical Care Medicine"
"540 E Jefferson St","41.663260000000001","-91.527919999999995","52245-2477","","","","Catholic Health Initiatives-Iowa Corp"
"1275 E Fairfax Rd","40.7774","-111.85048999999999","84103-4324","","","1255461075","Shriners Hospitals For Children"
"1505 SW Archer Rd Rm 1598","29.640029999999999","-82.340959999999995","32608-1134","","","","UF Health Heart And Vascular"
"1505 SW Archer Rd","29.640029999999999","-82.340959999999995","32608-1134","","","","UF Health Comprehensive Spine Center"
"9300 Dewitt Loop","38.705880000000001","-77.142619999999994","22060-5285","","","","Alexander T Augusta Military Medical Center Pharmacy Services Inpatient"
"330 S 9th St Fl 3","39.944879999999998","-75.156710000000004","19107-6103","","","","Penn Neurology Pennsylvania Hospital"
"200 Bowman Dr Fl 2 Suite D260, 200","39.841810000000002","-74.925160000000005","08043-9623","","","","Childrens Hospital Of Philadelphia-Specialty Care-Virtua"
"1800 Zollinger Rd","40.019599999999997","-83.060339999999997","43221-2849","","","","Outpatient Care Upper Arlington At The Ohio State University Wexner Medical Center"
"4170 Bronx Blvd","40.894370000000002","-73.861140000000006","10466-2656","","","","Montefiore Medical Village At Bronx River Womens Center"
"2050 Kenny Road Pavilion Ste 3100 Fl 3","40.037612000000003","-83.097965000000002","43221","","","","Neurology"
"543 Taylor Ave Ste 1127","39.9786","-82.962869999999995","43203-1278","","","","Neurodiagostic Testing"
"710 W 168th St Ste 213","40.84207","-73.942480000000003","10032-3726","","","","Columbiadoctors Neurology Neurological Institute Of New York"
"330 Brookline Ave","42.339840000000002","-71.105680000000007","02215-5400","","","","Beth Israel Deaconess Medical Center-Department Of Neurology"
"2601 Gene George Blvd","36.162739999999999","-94.190399999999997","72762-0845","","","","Arkansas Childrens Northwest Pediatrics"
"550 16th St 4417","37.767339999999997","-122.38996","94143-2549","","","","UCSF Division Of General Pediatrics"
"11234 Anderson St","34.049480000000003","-117.26366","92350-1716","","","1295742104","Loma Linda University Medical Center"
"1825 Eastchester Rd","40.850479999999997","-73.844750000000005","10461-2301","","","1811013824","Montefiore Jack D Weiler Hospital"
"4500 San Pablo Rd S","30.263940000000002","-81.440950000000001","32224-1865","","","1962499079","Mayo Building And Hospital"
"2799 W Grand Blvd","42.367609999999999","-83.084699999999998","48202-2608","","","1104040609","Henry Ford Hospital"
"1364 Clifton Rd NE","33.792319999999997","-84.321979999999996","30322-1059","","","1356328199","Emory University Hospital"
"20 York St","41.304420999999998","-72.934515000000005","06510-3220","1","Yes/True","1578778726","Yale-New Haven Hospital"
"2045 N Franklin St","39.747570000000003","-104.96868000000001","80205-5437","","","1275640690","Kaiser Permanente Franklin Medical Offices"
"1800 E Park Ave","40.818150000000003","-77.850430000000003","16803-6701","","","1730173154","Mount Nittany Medical Center"
"375 Dixmyth Ave","39.140000000000001","-84.522080000000003","45220-2475","","","1538391768","Good Samaritan Hospital"
"1100 Central Ave SE","35.081539999999997","-106.63536000000001","87106-4930","","","1215913470","Presbyterian Hospital"
"155 Memorial Dr","35.206449999999997","-79.458020000000005","28374-8710","","","1770512865","Firsthealth Moore Regional Hospital"
"600 E 233rd St","40.893990000000002","-73.860969999999995","10466-2604","","","1992072839","Montefiore Medical Center Wakefield Campus"
"10710 N Torrey Pines Rd","32.898789999999998","-117.24292","92037-1035","","","1538297726","Scripps Clinic Torrey Pines"
"75 Francis St","42.336109999999998","-71.107479999999995","02115-6110","","","","Brigham And Womens Hospital Department Of Radiology"
"1625 N Campbell Ave","32.24212","-110.94432999999999","85719-4330","","","1265820179","Banner-University Medical Center Tucson"
"365 Montauk Ave","41.336179999999999","-72.103009999999998","06320-4700","","","1700092459","Lawrence + Memorial Hospital"
"6201 Harry Hines Blvd","32.818640000000002","-96.848590000000002","75235-5202","","","1285798918","William P Clements Jr University Hospital"
"848 Adams Ave","35.143999999999998","-90.032390000000007","38103-2816","","","1386709871","Le Bonheur Childrens Hospital"
"148 Chestnut St","42.277180000000001","-71.236649999999997","02492-2505","","","1205893450","Beth Israel Deaconess Hospital-Needham"
"1250 16th St","34.027608000000001","-118.48616199999999","90404-1249","","","1427055839","UCLA Santa Monica Medical Center"
"100 N Mario Capecchi Dr","40.770659999999999","-111.83922","84113-1103","","","","Pediatric Imaging"
"6621 Fannin St Ste 19345C","29.70815","-95.400369999999995","77030-2372","","","","Bcm Pediatric Cardiology Electrophysiology Fellowship"
"727 Hospital Dr","38.213005000000003","-85.236074000000002","40065-1660","","","1497397053","University Of Louisville Shelbyville Hospital"
"111 Michigan Ave NW","38.927689999999998","-77.013750000000002","20010-2916","","","1376007005","Childrens National Hemophilia Treatment Center"
"10 Hospital Dr","38.794269999999997","-90.580500000000001","63376-1659","","","1144238908","Barnes-Jewish St Peters Hospital"
"18220 State Highway 249","29.964300000000001","-95.551180000000002","77070-4347","","","1871619254","Houston Methodist Willowbrook Hospital"
"1155 Kennedy Dr Fl 2","35.863379999999999","-86.421760000000006","37129","","","","Vanderbilt Childrens Neurology Murfreesboro"
"200 Hawkins Dr","41.659930000000003","-91.548100000000005","52242-1009","","","","Medical Center"
"6420 Rockledge Dr Ste 4920","39.02458","-77.133480000000006","20817-7848","","","","Johns Hopkins Otolaryngology Head And Neck Surgery"
"200 Lothrop St","40.441780000000001","-79.961200000000005","15213-2536","","","","UPMC Presbyterian Admin"
"401 N Ewing St","39.717500000000001","-82.577719999999999","43130-3372","","","","Fairfield Medical Center Admin Office"
"134 Research Park Dr Rm 320","38.934286","-92.339172000000005","65211","","","","Krenz Maike (md)"
"348 Glen Rd","42.327970000000001","-71.293170000000003","02493-1403","","","","Ocular Immunology And Uveitis Foundation"
"10 John Kissinger Dr","40.820079999999997","-85.820899999999995","46992-1648","","","1245259878","Parkview Wabash Hospital"
"101 The City Dr S Bldg 23","33.786470000000001","-117.88972","92868-3201","","","1649458159","UC Irvine Healthcare Chao Family Comprehensive Cancer Center"
"404 Jefferson St","41.412469999999999","-92.911600000000007","50219-1257","","","1578520888","Pella Regional Health Center"
"3400 Spruce St Fl 1","39.950369999999999","-75.196979999999996","19104","","","","University Of PA Medical Center Public Health Service Outpatient"
"975 Johnson Ferry Rd Ste 100","33.90757","-84.35669","30342-1618","","","","Childrens Physicians Group-Plastic Surgery And Craniofacial"
"201 Abraham Flexner Way Ste 1001","38.249760000000002","-85.751329999999996","40202-3841","","","","UOFL Physicians-Advanced Heart Failure Therapies Vad And Heart Transplant"
"1801 W Taylor St 2E","41.869050000000001","-87.671390000000002","60612-4795","","","","UIC Outpatient Care Center"
"1225 Harding Pl Ste 4200","35.209760000000003","-80.838909999999998","28204-2826","","","1467700872","Atrium Health Neurology Specialty Care"
"81 N Mario Capecchi Dr","40.771135000000001","-111.840154","84113-1125","","","","University Of Utah Adolescent Medicine Clinic"
"5285 Westview Dr Ste 103","39.382129999999997","-77.414169999999999","21703-8521","","","","Fredrick Outpatient Center"
"40 Duke Medicine Cir 2H","36.004581000000002","-78.935785999999993","27710-4000","","","","Duke Endoscopy Clinic-Clinic 2h"
"5461 Meridian Mark Rd Ste 530","33.866540000000001","-84.373260000000002","30342-3283","","","","Childrens Healthcare Of Atlanta Heart Center-Medical Office Building"
"2000 6th Ave S Fl 1","33.507910000000003","-86.800309999999996","35233-2110","","","","Continence Clinic At The Kirklin Clinic Of UAB Hospital"
"303 E Nicollet Blvd Ste 372","44.749090000000002","-93.271330000000006","55337-4594","","","","M Health Fairview Pediatric Specialty Clinic Burnsville"
"1504 Taub Loop","29.711290000000002","-95.393640000000005","77030-1608","","","1053352914","Harris Health Ben Taub Hospital Multi Specialty"
"4401 Penn Ave","40.466410000000003","-79.95299","15224-1334","","","","Pediatric Pain Medicine In Lawrenceville"
"111 17th Ave E","45.873049999999999","-95.376339999999999","56308-3703","","","1164424305","Alomere Health Hospital"
"1301 W 18th St","43.53492","-96.741330000000005","57105-0401","","","1144259052","Sanford Cardiovascular Institute"
"1155 Kennedy Dr Ste 101","35.863379999999999","-86.421760000000006","37129-3192","","","","Vanderbilt Childrens Genetics Murfreesboro"
"4675 Ponce De Leon Blvd Ste 201","25.726030000000002","-80.264070000000004","33146-2113","","","","Childrens Skin Center Coral Gables"
"117 E Kings Highway","36.504679000000003","-79.756439","27288-5201","","","1326048810","UNC Health Rockingham"
"2599 Wexford Bayne Rd","40.614269999999998","-80.100840000000005","15143-4030","","","1952681801","UPMC Childrens North"
"5151 Harry Hines Blvd","32.810941","-96.836226999999994","75235-7707","","","1417010653","Zale Lipshy Pavilion William P Clements Jr University Hospital"
"2870 University Ave Ste 200","43.074525000000001","-89.437938000000003","53705-3611","","","","University Hospital Pediatric Neuropsychology Clinic"
"1051 N Canton Center Rd","42.31391","-83.488860000000003","48187-5097","","","","Internal Medicine Clinic Canton Health Center"
"15 N Broadway Ste P","41.034550000000003","-73.764480000000006","10601-2214","","","","Columbiadoctors-15 North Broadway"
"3 Mariner Ct","40.537689999999998","-79.841419999999999","15238-1312","","","","UPMC Harmar Outpatient Center"
"1500 E Medical Center Dr Spc 5301","42.28481","-83.727670000000003","48109-5301","","","","University Of Michigan Emergency Medicine"
"2050 Kenny Rd","40.001109999999997","-83.032470000000004","43221-3502","","Yes/True","","Martha Morehouse Outpatient Care"
"3209 Colonial Dr","34.030029999999996","-81.028279999999995","29203-6930","","","1245728989","Prisma Health-USC Family Medicine Center"
"4401 Penn Ave","40.466410000000003","-79.95299","15224-1334","","","","UPMC Childrens Hospital Of Pittsburgh-Cystic Fibrosis Center"
"2001 W 86th St","39.909840000000003","-86.197059999999993","46260-1902","","","1699439760","Peyton Manning Childrens Hospital At Ascension St Vincent"
"200 N Wolfe St","39.2941","-76.590609999999998","21287-0011","","","","Johns Hopkins Pediatric Neurology At David M Rubenstein Child Health Building"
"815 Market St","29.309699999999999","-94.776790000000005","77550-2725","","","1851631709","Shriners Hospitals For Children Galvesto"
"120 Mineola Blvd Ste 210","40.74212","-73.640190000000004","11501-4077","","","","NYU Langone Childrens Ambulatory Care Center-Mineola"
"424 E 34th St","40.743090000000002","-73.972620000000006","10016-4901","","","","NYU Langone Pediatric Critical Care"
"1320 W Main St","40.047420000000002","-82.449849999999998","43055-1822","","","1861412207","Licking Memorial Hospital"
"1225 NE 2nd Ave","45.532060000000001","-122.66406000000001","97232-2003","","","1003367491","Unity Center For Behavioral Health"
"311 Service Rd","41.729050000000001","-70.454300000000003","02537-1370","","","1265489736","Rehabilitation Hospital Of Cape And Island"
"3400 Civic Center Blvd Fl 1","39.947600000000001","-75.192549999999997","19104-5161","","","1982717641","Penn Rheumatology Perelman"
